==== FILE = /Users/maksimus/RiderProjects/CompGraph/Assets/cow.obj
(0,118072|0,120713|-0,065325) (0,07173|0,117332|-0,059458) (0,124736|0,120147|-0,021366)
(0,060704|0,111626|-0,011599) (0,092508|0,130043|0,003302) (0,07173|0,117332|-0,059458)
(0,084373|0,001475|0,224043) (0,079342|0,023039|0,220054) (-0,014583|0,001013|0,217707)
(0,052324|0,000997|-0,109792) (0,012238|-0,0009860001|-0,111112) (0,018217|0,040288|-0,104698)
(0,052634|0,081297|-0,080675) (0,014885|0,07908|-0,080489) (0,019099|0,096018|-0,059038)
(0,054007|0,099351|-0,053876) (0,019099|0,096018|-0,059038) (0,02021|0,114892|-0,007717)
(0,060704|0,111626|-0,011599) (0,02021|0,114892|-0,007717) (0,016796|0,128345|0,020725)
(0,134161|0,127904|0,01258) (0,016796|0,128345|0,020725) (0,015897|0,122213|0,076827)
(0,086398|0,118236|0,086888) (0,015897|0,122213|0,076827) (0,015522|0,100935|0,120433)
(0,081057|0,103386|0,133408) (0,015522|0,100935|0,120433) (-0,003721|0,083265|0,150371)
(0,081057|0,103386|0,133408) (-0,003721|0,083265|0,150371) (-0,002316|0,044188|0,195777)
(0,07338|0,053783|0,198612) (-0,002316|0,044188|0,195777) (-0,014583|0,001013|0,217707)
(-0,115679|0,071499|0,177464) (-0,054211|0,046057|0,193196) (-0,003721|0,083265|0,150371)
(-0,117231|0,09811|0,145375) (-0,115679|0,071499|0,177464) (-0,052268|0,083|0,158271)
(-0,088139|0,13562|0,090711) (-0,117231|0,09811|0,145375) (-0,044982|0,109627|0,123396)
(-0,078387|0,154053|0,048756) (-0,088139|0,13562|0,090711) (-0,021983|0,129135|0,073874)
(-0,075561|0,158633|-0,005371) (-0,078387|0,154053|0,048756) (-0,024466|0,13966|0,014741)
(-0,065319|0,149842|-0,034888) (-0,075561|0,158633|-0,005371) (-0,024466|0,13966|0,014741)
(-0,085623|0,122712|-0,09232) (-0,080772|0,140516|-0,069519) (-0,023845|0,126383|-0,041419)
(-0,082912|0,087507|-0,113439) (-0,085623|0,122712|-0,09232) (0,014885|0,07908|-0,080489)
(-0,084464|0,081022|-0,123959) (-0,082912|0,087507|-0,113439) (0,014885|0,07908|-0,080489)
(0,006374|0,061312|-0,099848) (-0,084823|0,047428|-0,134401) (-0,084464|0,081022|-0,123959)
(-0,19389|0,091537|0,162192) (-0,177262|0,074682|0,195621) (-0,115679|0,071499|0,177464)
(-0,18538|0,152012|0,076005) (-0,204198|0,121943|0,133202) (-0,146111|0,153352|0,078733)
(-0,18195|0,170025|0,010615) (-0,18538|0,152012|0,076005) (-0,130283|0,169225|0,030424)
(-0,185952|0,162579|-0,04842) (-0,18195|0,170025|0,010615) (-0,129972|0,171141|-0,013359)
(-0,175955|0,13481|-0,090198) (-0,185952|0,162579|-0,04842) (-0,125333|0,151405|-0,074486)
(-0,171936|0,090919|-0,109723) (-0,175955|0,13481|-0,090198) (-0,129776|0,128434|-0,098734)
(0,060704|0,111626|-0,011599) (0,07173|0,117332|-0,059458) (0,054007|0,099351|-0,053876)
